dist_km,elevation_m,grade_pct,curvature_deg_100m,speed_kmh,legal_kmh,limit_source,lat,lon
5.475,333.1,-0.96,12.34,50.0,50,osm,48.87318,12.96068
5.5,332.8,-0.9,14.49,50.0,50,osm,48.87337,12.96086
5.525,332.6,-0.82,15.61,50.0,50,osm,48.87357,12.961
5.55,332.3,-0.73,14.79,50.0,50,osm,48.87378,12.96113
5.575,332.1,-0.63,10.8,50.0,50,osm,48.87399,12.96124
5.6,331.9,-0.52,8.77,50.0,50,osm,48.87421,12.96132
5.625,331.8,-0.43,6.19,50.0,50,osm,48.87443,12.96141
5.65,331.7,-0.35,5.43,50.0,50,osm,48.87465,12.96148
5.675,331.6,-0.27,6.5,50.0,50,osm,48.87487,12.96155
5.7,331.7,-0.2,9.66,50.0,50,osm,48.87509,12.96162
5.725,331.7,-0.15,16.64,50.0,50,osm,48.87531,12.96167
5.75,331.7,-0.14,16.55,50.0,50,osm,48.87553,12.96171
5.775,331.8,-0.15,13.96,50.0,50,osm,48.87576,12.96171
5.8,331.8,-0.18,13.13,50.0,50,osm,48.87598,12.96166
5.825,331.8,-0.22,9.96,50.0,50,osm,48.8762,12.96161
5.85,331.7,-0.27,4.99,56.7,70,osm,48.87642,12.96156
5.875,331.6,-0.32,5.01,62.7,70,osm,48.87665,12.96151
5.9,331.5,-0.36,9.92,68.1,70,osm,48.87687,12.96148
5.925,331.3,-0.37,10.17,70.0,70,osm,48.87709,12.96146
5.95,331.1,-0.37,16.23,70.0,70,osm,48.87732,12.96144
5.975,331.0,-0.37,17.74,70.0,70,osm,48.87754,12.96147
6.0,330.9,-0.35,20.48,70.0,70,osm,48.87777,12.9615
6.025,330.7,-0.31,19.3,70.0,70,osm,48.87798,12.96158
6.05,330.7,-0.25,19.05,70.0,70,osm,48.8782,12.9617
6.075,330.6,-0.18,15.05,70.0,70,osm,48.8784,12.96183
6.1,330.6,-0.08,11.96,70.0,70,osm,48.8786,12.96199
6.125,330.7,0.02,9.01,70.0,70,osm,48.8788,12.96216
6.15,330.7,0.15,5.16,70.0,70,osm,48.87899,12.96234
6.175,330.7,0.28,4.54,70.0,70,osm,48.87917,12.96253
6.2,330.7,0.41,1.35,70.0,70,osm,48.87936,12.96273
6.225,330.8,0.55,0.69,70.0,70,osm,48.87954,12.96292
6.25,330.9,0.7,0.51,70.0,70,osm,48.87973,12.96312
6.275,331.0,0.88,0.07,70.0,70,osm,48.87991,12.96331
6.3,331.3,1.09,0.07,74.9,100,stvo,48.8801,12.96351
6.325,331.6,1.32,0.0,79.5,100,stvo,48.88028,12.9637
6.35,331.9,1.55,0.0,83.9,100,stvo,48.88047,12.9639
6.375,332.3,1.76,0.0,88.0,100,stvo,48.88065,12.96409
6.4,332.8,1.96,1.73,83.5,100,stvo,48.88083,12.96429
6.425,333.3,2.16,5.68,77.1,100,stvo,48.88102,12.96448
6.45,333.9,2.37,5.81,70.0,70,osm,48.8812,12.96468
6.475,334.7,2.6,7.12,70.0,70,osm,48.88139,12.96486
6.5,335.4,2.86,9.89,70.0,70,osm,48.88159,12.96502
6.525,336.1,3.13,8.25,70.0,70,osm,48.88179,12.96518
6.55,336.8,3.4,7.52,70.0,70,osm,48.88199,12.96533
6.575,337.5,3.67,8.6,70.0,70,osm,48.8822,12.96546
6.6,338.4,3.91,7.94,70.0,70,osm,48.88241,12.96559
6.625,339.4,4.14,8.87,70.0,70,osm,48.88262,12.9657
6.65,340.5,4.37,9.14,70.0,70,osm,48.88284,12.9658
6.675,341.7,4.6,7.33,70.0,70,osm,48.88305,12.96589
6.7,343.0,4.84,7.46,70.0,70,osm,48.88327,12.96596
6.725,344.3,5.07,7.34,70.0,70,osm,48.88349,12.96603
6.75,345.7,5.29,3.78,70.0,70,osm,48.88372,12.96608
6.775,347.1,5.48,3.46,70.0,70,osm,48.88394,12.96613
6.8,348.5,5.63,4.89,70.0,70,osm,48.88416,12.96617
6.825,349.9,5.75,5.06,70.0,70,osm,48.88439,12.96621
6.85,351.3,5.84,7.22,70.0,70,osm,48.88461,12.96625
