dist_km,elevation_m,grade_pct,curvature_deg_100m,speed_kmh,legal_kmh,limit_source,lat,lon
16.575,663.6,-6.58,14.76,83.9,100,osm,48.90611,13.10077
16.6,661.8,-7.06,14.55,88.0,100,osm,48.90617,13.10111
16.625,659.9,-7.47,14.86,88.0,100,osm,48.90621,13.10144
16.65,657.8,-7.81,13.03,88.0,100,osm,48.90624,13.10178
16.675,655.7,-8.09,11.5,88.0,100,osm,48.90626,13.10212
16.7,653.5,-8.33,7.48,88.0,100,osm,48.90626,13.10246
16.725,651.4,-8.53,5.98,88.0,100,osm,48.90625,13.1028
16.75,649.1,-8.64,2.4,88.0,100,osm,48.90624,13.10315
16.775,646.9,-8.66,1.35,88.0,100,osm,48.90623,13.10349
16.8,644.7,-8.58,1.15,88.0,100,osm,48.90622,13.10383
16.825,642.5,-8.37,1.14,88.0,100,osm,48.90621,13.10417
16.85,640.3,-8.01,1.04,88.0,100,osm,48.9062,13.10451
16.875,638.0,-7.58,0.6,88.0,100,stvo,48.9062,13.10485
16.9,635.9,-7.09,0.16,88.0,100,osm,48.90619,13.1052
16.925,633.9,-6.53,0.15,88.0,100,osm,48.90618,13.10554
16.95,632.1,-5.95,0.18,88.0,100,stvo,48.90617,13.10588
16.975,630.6,-5.36,0.09,88.0,100,osm,48.90616,13.10622
17.0,629.5,-4.77,0.04,88.0,100,osm,48.90615,13.10656
17.025,628.6,-4.18,0.57,88.0,100,stvo,48.90614,13.10691
17.05,627.9,-3.64,1.0,88.0,100,stvo,48.90613,13.10725
17.075,627.3,-3.17,2.44,88.0,100,osm,48.90612,13.10759
17.1,626.9,-2.79,2.71,88.0,100,osm,48.90612,13.10793
17.125,626.4,-2.54,3.64,88.0,100,osm,48.90611,13.10827
17.15,626.0,-2.45,3.5,88.0,100,osm,48.90612,13.10861
17.175,625.5,-2.45,4.34,88.0,100,osm,48.90612,13.10896
17.2,624.9,-2.56,4.49,88.0,100,osm,48.90613,13.1093
17.225,624.4,-2.75,5.74,88.0,100,osm,48.90614,13.10964
17.25,623.7,-2.99,7.12,88.0,100,osm,48.90616,13.10998
17.275,623.0,-3.26,7.98,88.0,100,osm,48.90618,13.11032
17.3,622.2,-3.54,8.32,88.0,100,osm,48.90621,13.11066
17.325,621.3,-3.83,7.5,88.0,100,osm,48.90626,13.111
17.35,620.2,-4.17,10.01,88.0,100,osm,48.9063,13.11133
17.375,619.1,-4.56,9.36,88.0,100,osm,48.90636,13.11166
17.4,617.9,-4.95,10.84,88.0,100,osm,48.90642,13.11199
17.425,616.6,-5.33,12.22,88.0,100,osm,48.9065,13.11231
17.45,615.3,-5.68,13.91,88.0,100,osm,48.90659,13.11262
17.475,614.0,-5.99,12.58,88.0,100,osm,48.90669,13.11293
17.5,612.4,-6.23,13.22,88.0,100,osm,48.9068,13.11323
17.525,610.7,-6.41,13.78,88.0,100,osm,48.90692,13.11351
17.55,608.9,-6.52,14.15,88.0,100,osm,48.90706,13.11379
17.575,607.0,-6.58,14.82,88.0,100,osm,48.9072,13.11405
17.6,605.1,-6.57,14.5,88.0,100,osm,48.90735,13.1143
17.625,603.3,-6.51,15.48,88.0,100,osm,48.90752,13.11453
17.65,601.5,-6.36,14.1,88.0,100,osm,48.9077,13.11474
17.675,599.9,-6.11,13.29,88.0,100,osm,48.90788,13.11494
17.7,598.3,-5.82,12.72,88.0,100,osm,48.90807,13.11512
17.725,596.9,-5.49,15.21,88.0,100,osm,48.90827,13.11529
17.75,595.6,-5.14,13.73,88.0,100,osm,48.90847,13.11543
17.775,594.5,-4.8,15.6,88.0,100,osm,48.90868,13.11557
17.8,593.3,-4.51,13.2,88.0,100,osm,48.90889,13.11566
17.825,592.3,-4.26,10.94,88.0,100,osm,48.90911,13.11575
17.85,591.4,-4.04,6.08,88.0,100,stvo,48.90933,13.1158
17.875,590.6,-3.84,4.29,88.0,100,stvo,48.90955,13.11586
17.9,589.7,-3.68,0.95,88.0,100,stvo,48.90978,13.11592
17.925,588.9,-3.54,0.99,88.0,100,stvo,48.91,13.11598
17.95,588.0,-3.41,0.77,88.0,100,osm,48.91022,13.11604
17.975,587.1,-3.3,0.76,88.0,100,osm,48.91044,13.1161
18.0,586.2,-3.21,0.74,88.0,100,osm,48.91066,13.11615
18.025,585.4,-3.14,0.32,88.0,100,osm,48.91088,13.1162
18.05,584.6,-3.06,0.13,88.0,100,stvo,48.91111,13.11626
18.075,583.8,-2.96,2.84,88.0,100,osm,48.91133,13.11631
18.1,583.1,-2.86,8.28,88.0,100,osm,48.91155,13.11637
18.125,582.4,-2.75,9.76,88.0,100,stvo,48.91177,13.11642
18.15,581.8,-2.66,9.76,88.0,100,stvo,48.91199,13.11646
18.175,581.1,-2.58,14.47,88.0,100,osm,48.91222,13.11645
18.2,580.5,-2.52,12.84,88.0,100,osm,48.91244,13.11645
18.225,580.0,-2.46,9.4,88.0,100,osm,48.91267,13.11646
18.25,579.4,-2.4,10.31,88.0,100,osm,48.91289,13.11642
18.275,578.8,-2.32,10.93,88.0,100,osm,48.91312,13.11638
18.3,578.2,-2.21,6.36,88.0,100,osm,48.91334,13.11633
18.325,577.6,-2.09,5.18,88.0,100,osm,48.91356,13.11626
18.35,577.0,-1.96,3.76,88.0,100,osm,48.91378,13.11618
18.375,576.5,-1.85,2.68,88.0,100,stvo,48.914,13.1161
18.4,575.9,-1.73,3.47,88.0,100,osm,48.91421,13.11602
18.425,575.5,-1.62,3.77,88.0,100,osm,48.91443,13.11594
18.45,575.1,-1.51,3.77,88.0,100,osm,48.91465,13.11585
18.475,574.9,-1.41,8.93,88.0,100,osm,48.91487,13.11577
18.5,574.7,-1.34,9.66,88.0,100,stvo,48.91509,13.11569
18.525,574.4,-1.28,8.63,88.0,100,osm,48.9153,13.11561
18.55,574.2,-1.26,8.39,88.0,100,osm,48.91552,13.11549
18.575,574.0,-1.27,8.39,88.0,100,osm,48.91572,13.11536
18.6,573.7,-1.33,6.03,88.0,100,osm,48.91593,13.11522
18.625,573.4,-1.41,4.64,88.0,100,osm,48.91613,13.11509
18.65,573.0,-1.5,6.25,88.0,100,osm,48.91634,13.11495
18.675,572.6,-1.6,7.29,88.0,100,osm,48.91655,13.11483
18.7,572.2,-1.68,7.32,88.0,100,osm,48.91676,13.11472
18.725,571.7,-1.75,7.77,88.0,100,osm,48.91698,13.11463
18.75,571.2,-1.82,9.62,88.0,100,osm,48.9172,13.11454
18.775,570.6,-1.87,7.64,88.0,100,osm,48.91742,13.11446
18.8,570.1,-1.9,6.36,88.0,100,osm,48.91764,13.1144
18.825,569.7,-1.92,7.72,88.0,100,stvo,48.91786,13.11436
18.85,569.2,-1.92,6.18,88.0,100,stvo,48.91808,13.11432
18.875,568.7,-1.91,6.29,88.0,100,osm,48.91831,13.11428
18.9,568.2,-1.89,8.86,88.0,100,osm,48.91853,13.11423
18.925,567.8,-1.87,9.65,88.0,100,osm,48.91875,13.11416
18.95,567.3,-1.84,9.11,88.0,100,osm,48.91897,13.11407
18.975,566.9,-1.81,6.83,88.0,100,osm,48.91918,13.11397
19.0,566.4,-1.76,4.38,88.0,100,osm,48.91939,13.11386
19.025,565.9,-1.68,5.66,88.0,100,stvo,48.9196,13.11374
19.05,565.5,-1.53,4.87,88.0,100,osm,48.91982,13.11362
19.075,565.0,-1.34,4.02,88.0,100,osm,48.92003,13.11351
19.1,564.6,-1.11,4.02,88.0,100,osm,48.92023,13.11336
19.125,564.2,-0.85,3.85,88.0,100,stvo,48.92043,13.11322
19.15,563.9,-0.59,3.55,88.0,100,stvo,48.92064,13.11307
19.175,563.7,-0.31,5.96,88.0,100,stvo,48.92084,13.11293
19.2,563.7,-0.04,9.68,88.0,100,osm,48.92105,13.11279
19.225,563.8,0.23,11.74,88.0,100,osm,48.92126,13.11267
19.25,564.0,0.48,16.07,88.0,100,osm,48.92147,13.11256
19.275,564.3,0.72,14.36,88.0,100,osm,48.92169,13.11249
19.3,564.6,0.9,14.29,88.0,100,osm,48.92191,13.11243
19.325,565.0,1.03,14.21,88.0,100,osm,48.92214,13.1124
19.35,565.4,1.07,13.14,88.0,100,osm,48.92236,13.11238
19.375,565.7,1.07,10.35,88.0,100,osm,48.92258,13.11239
19.4,566.1,1.01,17.29,88.0,100,osm,48.92281,13.11242
19.425,566.4,0.93,14.94,88.0,100,osm,48.92303,13.11245
19.45,566.6,0.83,12.44,88.0,100,osm,48.92325,13.1125
19.475,566.8,0.73,13.74,88.0,100,osm,48.92347,13.11261
19.5,566.9,0.63,12.2,88.0,100,osm,48.92368,13.11273
19.525,567.0,0.55,3.43,88.0,100,osm,48.92389,13.11284
19.55,567.0,0.47,3.43,88.0,100,osm,48.9241,13.11298
19.575,567.1,0.37,6.27,88.0,100,stvo,48.9243,13.11312
19.6,567.1,0.34,9.36,88.0,100,stvo,48.92451,13.11325
19.625,567.2,0.34,10.49,88.0,100,osm,48.92472,13.11339
19.65,567.3,0.39,14.72,88.0,100,osm,48.92493,13.1135
19.675,567.4,0.43,15.56,88.0,100,osm,48.92515,13.11356
19.7,567.5,0.47,21.18,87.8,100,osm,48.92537,13.11363
19.725,567.5,0.52,16.77,88.0,100,osm,48.92559,13.11366
19.75,567.6,0.53,22.49,85.2,100,osm,48.92582,13.11368
19.775,567.8,0.5,19.6,88.0,100,osm,48.92604,13.11363
19.8,568.0,0.43,21.17,87.8,100,osm,48.92626,13.11358
19.825,568.2,0.37,11.58,88.0,100,osm,48.92648,13.11347
19.85,568.4,0.32,10.6,88.0,100,osm,48.92669,13.11336
19.875,568.6,0.32,3.83,88.0,100,stvo,48.92689,13.11323
19.9,568.7,0.29,2.55,88.0,100,stvo,48.9271,13.11309
19.925,568.7,0.24,0.57,88.0,100,osm,48.92731,13.11296
19.95,568.6,0.17,1.57,88.0,100,osm,48.92752,13.11283
19.975,568.5,0.12,9.7,88.0,100,osm,48.92772,13.1127
20.0,568.4,0.06,12.62,88.0,100,osm,48.92793,13.11256
20.025,568.5,-0.0,13.01,88.0,100,osm,48.92814,13.11242
20.05,568.5,-0.05,22.07,86.0,100,osm,48.92835,13.11234
20.075,568.5,-0.07,21.07,88.0,100,osm,48.92857,13.11228
20.1,568.6,-0.11,18.96,88.0,100,osm,48.92879,13.11222
20.125,568.6,-0.22,17.0,88.0,100,osm,48.92902,13.11223
20.15,568.6,-0.43,16.7,88.0,100,osm,48.92924,13.11224
20.175,568.6,-0.71,11.2,88.0,100,osm,48.92947,13.11229
20.2,568.6,-0.98,11.2,88.0,100,osm,48.92969,13.11236
20.225,568.5,-1.26,5.18,88.0,100,osm,48.92991,13.11242
20.25,568.2,-1.54,12.38,88.0,100,osm,48.93013,13.11245
20.275,567.8,-1.78,13.18,88.0,100,osm,48.93036,13.11248
20.3,567.1,-1.95,14.54,88.0,100,osm,48.93058,13.11252
20.325,566.3,-2.07,19.4,86.2,100,osm,48.9308,13.11249
20.35,565.5,-2.16,25.54,80.0,100,osm,48.93103,13.11245
20.375,564.7,-2.22,17.62,84.3,100,osm,48.93125,13.11238
20.4,563.9,-2.26,21.29,87.6,100,osm,48.93146,13.11227
20.425,563.3,-2.24,15.95,88.0,100,osm,48.93166,13.11211
20.45,562.8,-2.15,11.5,88.0,100,osm,48.93186,13.11196
20.475,562.4,-2.02,6.28,88.0,100,osm,48.93205,13.11177
20.5,562.1,-1.88,5.98,88.0,100,osm,48.93224,13.11159
20.525,561.8,-1.76,1.39,88.0,100,osm,48.93243,13.1114
