dist_km,elevation_m,grade_pct,curvature_deg_100m,speed_kmh,legal_kmh,limit_source,lat,lon
10.825,501.3,2.82,5.21,88.0,100,osm,48.91583,12.98053
10.85,502.1,2.79,4.72,88.0,100,osm,48.91606,12.98055
10.875,503.0,2.71,4.46,88.0,100,osm,48.91628,12.98056
10.9,503.7,2.58,4.29,88.0,100,osm,48.91651,12.98057
10.925,504.3,2.43,3.36,88.0,100,osm,48.91673,12.98057
10.95,504.8,2.26,2.13,88.0,100,osm,48.91696,12.98057
10.975,505.2,2.09,1.55,88.0,100,osm,48.91718,12.98058
11.0,505.7,1.93,1.04,88.0,100,osm,48.9174,12.98058
11.025,506.1,1.75,0.33,88.0,100,stvo,48.91763,12.98059
11.05,506.5,1.58,0.32,88.0,100,osm,48.91785,12.98059
11.075,506.9,1.44,0.28,88.0,100,osm,48.91808,12.9806
11.1,507.2,1.33,0.29,88.0,100,osm,48.9183,12.9806
11.125,507.6,1.19,0.47,88.0,100,stvo,48.91853,12.9806
11.15,507.9,1.03,0.22,88.0,100,osm,48.91875,12.98061
11.175,508.2,0.88,0.22,88.0,100,osm,48.91898,12.98061
11.2,508.4,0.73,0.24,88.0,100,osm,48.9192,12.98061
11.225,508.6,0.59,0.29,88.0,100,stvo,48.91943,12.98061
11.25,508.8,0.46,0.08,88.0,100,stvo,48.91965,12.98061
11.275,508.8,0.34,0.08,88.0,100,osm,48.91988,12.98061
11.3,508.8,0.22,0.08,88.0,100,stvo,48.9201,12.98061
11.325,508.7,0.11,0.06,88.0,100,stvo,48.92033,12.98062
11.35,508.7,0.0,0.03,88.0,100,stvo,48.92055,12.98062
11.375,508.7,-0.12,0.07,88.0,100,stvo,48.92078,12.98062
11.4,508.6,-0.21,0.11,88.0,100,osm,48.921,12.98062
11.425,508.6,-0.26,0.12,88.0,100,osm,48.92123,12.98062
11.45,508.6,-0.26,0.25,88.0,100,osm,48.92145,12.98062
11.475,508.5,-0.2,0.84,88.0,100,osm,48.92168,12.98062
11.5,508.4,-0.11,1.62,88.0,100,osm,48.9219,12.98062
11.525,508.3,0.02,1.7,88.0,100,osm,48.92213,12.98062
11.55,508.1,0.18,1.74,88.0,100,osm,48.92235,12.98062
11.575,508.0,0.32,2.54,88.0,100,osm,48.92258,12.98061
11.6,508.0,0.43,2.06,88.0,100,osm,48.9228,12.9806
11.625,508.1,0.53,3.07,88.0,100,osm,48.92303,12.98059
11.65,508.4,0.64,2.95,88.0,100,osm,48.92325,12.98057
11.675,508.7,0.79,2.95,88.0,100,osm,48.92347,12.98055
11.7,509.2,0.95,2.15,88.0,100,osm,48.9237,12.98052
11.725,509.6,1.11,2.98,88.0,100,osm,48.92392,12.98049
