dist_km,elevation_m,grade_pct,curvature_deg_100m,speed_kmh,legal_kmh,lat,lon
2.975,332.2,0.63,4.15,88.0,100,48.85162,12.95696
3.0,332.3,0.63,4.01,88.0,100,48.85182,12.9571
3.025,332.5,0.63,2.36,88.0,100,48.85202,12.95725
3.05,332.6,0.63,0.89,88.0,100,48.85223,12.95739
3.075,332.8,0.63,1.94,88.0,100,48.85243,12.95754
3.1,333.0,0.63,3.28,88.0,100,48.85263,12.95768
3.125,333.1,0.63,2.9,88.0,100,48.85284,12.95783
3.15,333.3,0.63,2.9,88.0,100,48.85304,12.95797
3.175,333.4,0.63,2.9,88.0,100,48.85325,12.9581
3.2,333.6,0.63,2.44,88.0,100,48.85346,12.95822
3.225,333.8,0.63,2.78,88.0,100,48.85367,12.95835
3.25,333.9,0.63,3.44,88.0,100,48.85388,12.95848
3.275,334.1,0.63,4.42,88.0,100,48.85409,12.9586
3.3,334.2,0.63,4.42,88.0,100,48.8543,12.9587
3.325,334.4,0.63,4.95,88.0,100,48.85452,12.95881
3.35,334.5,0.63,5.08,88.0,100,48.85473,12.9589
3.375,334.7,0.63,5.76,88.0,100,48.85495,12.959
3.4,334.9,0.63,4.79,88.0,100,48.85517,12.95908
3.425,335.0,0.63,4.79,88.0,100,48.85539,12.95915
3.45,335.2,0.63,3.35,88.0,100,48.85561,12.95921
3.475,335.3,0.63,1.34,88.0,100,48.85583,12.95927
3.5,335.5,0.63,0.0,88.0,100,48.85605,12.95934
3.525,335.7,0.63,0.42,88.0,100,48.85627,12.9594
3.55,335.8,0.63,0.42,88.0,100,48.85649,12.95946
3.575,336.0,0.63,0.45,88.0,100,48.85671,12.95952
3.6,336.1,0.63,0.76,88.0,100,48.85694,12.95958
3.625,336.3,0.63,0.99,88.0,100,48.85716,12.95963
3.65,336.4,0.63,1.07,88.0,100,48.85738,12.95969
3.675,336.6,0.63,1.1,88.0,100,48.8576,12.95975
3.7,336.8,0.63,3.48,88.0,100,48.85782,12.9598
3.725,336.9,0.63,7.69,88.0,100,48.85804,12.95985
3.75,337.1,0.63,9.91,88.0,100,48.85827,12.9599
3.775,337.2,0.63,12.83,88.0,100,48.85849,12.95993
3.8,337.4,0.63,13.82,88.0,100,48.85872,12.95993
3.825,337.6,0.63,15.89,88.0,100,48.85894,12.95991
3.85,337.7,0.63,14.01,88.0,100,48.85916,12.95986
3.875,337.9,0.63,14.22,88.0,100,48.85938,12.95981
3.9,338.0,0.63,11.53,88.0,100,48.8596,12.95973
3.925,338.2,0.63,10.57,88.0,100,48.85982,12.95962
3.95,338.3,0.63,6.1,88.0,100,48.86003,12.9595
3.975,338.5,0.63,3.47,88.0,100,48.86023,12.95937
4.0,338.7,0.63,0.88,88.0,100,48.86044,12.95924
4.025,338.8,0.63,0.15,88.0,100,48.86065,12.95911
4.05,339.0,0.63,1.81,88.0,100,48.86086,12.95899
4.075,339.1,0.63,4.48,88.0,100,48.86107,12.95886
4.1,339.3,0.63,8.18,88.0,100,48.86128,12.95873
4.125,339.5,0.63,10.27,88.0,100,48.86149,12.95862
4.15,339.6,0.63,14.49,88.0,100,48.8617,12.95852
4.175,339.8,0.63,12.78,88.0,100,48.86192,12.95845
4.2,339.9,0.63,14.22,88.0,100,48.86215,12.9584
